NDBORROWFUND,SUMINVFLOWIN,ENDDATE,OTHERINVREC,COMMPAY,NICLIENTDEPOSIT,NDBUYSELLBACKFASSET,CANCELLOANREC,NILENDFUND,NIACCOUNTREC,REMARK,OTHEROPERATEPAY,DISPMASSETREC,FINAFLOWOUTOTHER,ISSUEOTHERBONDREC,FINAFLOWOUTBALANCE,INVFLOWOUTOTHER,DISPFILASSETREC,NDLENDFUND,DIVIORPROFITREC,NDLENDBUYSELLBACK,ISSUECD,NISELLBUYBACKFASSET,GETSUBSIDIARYPAY,OTHEROPERATEREC,NDBORROWFROMCBANK,SUMOPERATEFLOWIN,OPERATEFLOWOUTBALANCE,BONDINTPAY,ISSUEJUNIORBONDREC,NIBORROWFUND,BUYFINALEASEASSETPAY,OPERATEFLOWINBALANCE,NIDEPOSITINCBANK,INVFLOWINBALANCE,NETFINACASHFLOW,NIDEPOSITINCBANKFI,CASHEQUIBEGINNING,FIRSTNOTICEDATE,CASHEQUIENDINGBALANCE,INVFLOWBALANCE,NDDEPOSITINFI,INTPAY,TAXPAY,ISLISTINGREPORT,NDFIDEPOSIT,INTREC,REPORTDATE,FINAFLOWINOTHER,NITRADEFASSET,SUMOPERATEFLOWOUT,INTANDCOMMREC,ADDSHARECAPITALREC,FINAFLOWOTHER,DISPOSALINVREC,NDTRADEFASSET,NETCD,OTHERFINAREC,NDTRADEFLIAB,INVINCOMEREC,GROUPID,NILOANADVANCES,FINAFLOWINBALANCE,NETOPERATECASHFLOW,SUMFINAFLOWIN,NIDEPOSITINFI,NICASHEQUIBALANCE,NIFIDEPOSIT,COMMREC,DIVIPROFITORINTPAY,INVFLOWOTHER,ISSUESHAREREC,OPERATEFLOWBALANCE,NDSELLBUYBACKFASSET,CASHEQUIENDINGOTHER,NDISSUECD,SUMINVFLOWOUT,OPERATEFLOWOTHER,OPERATEFLOWOUTOTHER,NICASHEQUIOTHER,FINAFLOWBALANCE,INVPAY,LATESTNOTICEDATE,SUBSIDIARYACCEPT,REPAYDEBTPAY,ACCEPTINVREC,NIDEPOSIT,CASHEQUIENDING,NICASHEQUI,NIBUYSELLBACKFASSET,OTHERINVPAY,NDBORROWSELLBUYBACK,NILENDSELLBUYBACK,NDDEPOSITINCBANKFI,NITRADEFLIAB,INTANDCOMMPAY,OPERATEFLOWINOTHER,INVFLOWOUTBALANCE,NDDEPOSITINCBANK,INVFLOWINOTHER,BUYFILASSETPAY,SUMFINAFLOWOUT,NIBORROWSELLBUYBACK,DISPSUBSIDIARYREC,EFFECTEXCHANGERATE,OTHERFINAPAY,ISSUEBONDREC,NIBORROWFROMCBANK,EMPLOYEEPAY,STARTDATE,NETINVCASHFLOW,CURRENCY,COMBINETYPE,REPORTSOURCETYPE,REPORTTIMETYPE,COMPANYCODE
,2438916571,2019-12-31,,,,,,,,,413517887.7,,,,,,94773.87,,,,,,,3559562466,,1747818615,0,,,-2450000000,,0,,0,60240000,,616311632.6,2020-4-30,0,0,,,195077274.6,1,,,2019-12-31,60240000,,1044509825,638256149.3,,,2386569161,,,,,52252636.2,,-56913702.18,0,703308790.4,60240000,,0,,,,,,0,,,,3622135292,,,,0,3611427007,2020-4-30,,,,,196641702.6,-419669930,,,,,,,231655575.5,,0,,,10708284.41,,-2450000000,,,,,,261172789.2,2019-1-1,-1183218720,CNY,合并,年度报告,年度报告,10634774
,6.96739E+11,2020-12-31,,,4.46317E+11,30913000000,2428000000,,,,17813000000,,,,0,,305000000,20549000000,,51462000000,,,,14301000000,41570000000,7.24007E+11,0,15732000000,,13820000000,20794000000,0,44276000000,0,-61453000000,44276000000,1.8768E+11,2020-3-28,0,0,1543000000,,21203000000,1,45587000000,,2019-12-31,34959000000,6928000000,6.58907E+11,1.94136E+11,,,6.37019E+11,,,,,59415000000,,3.31235E+11,0,65100000000,2.59218E+11,,0,,,25634000000,,,0,14793000000,,,7.71162E+11,,,,0,7.66714E+11,2021-3-27,,,,4.46317E+11,1.17499E+11,-70181000000,,,14793000000,,1543000000,,96688000000,,0,,,4448000000,3.20671E+11,13820000000,,595000000,2744000000,2.24259E+11,,18020000000,2019-1-1,-74423000000,CNY,合并,年度报告,年度报告,10008223
,1.84093E+12,2020-12-31,,,1.53364E+12,,,49783000000,,,1.21517E+11,433000000,37323000000,,0,10643000000,9587000000,,,,,,,1.35146E+11,,3.30773E+12,0,24989000000,,4034000000,,0,,0,1.12874E+11,90061000000,1.50952E+12,2020-3-28,0,0,,,1.30927E+11,1,,,2019-12-31,1.50057E+11,,2.82649E+12,1.03291E+12,,,1.61348E+12,,9762000000,,,2.1712E+11,,1.41685E+12,0,4.8124E+11,1.29073E+12,90061000000,0,4.43844E+11,,1.14642E+11,,,0,2.51349E+11,,,2.50362E+12,,41058000000,,0,2.46694E+12,2021-3-27,,1.02094E+12,,1.97749E+12,1.45041E+12,-59110000000,1.90149E+11,,2.51349E+11,2.39932E+11,1.3532E+11,12103000000,4.0951E+11,,0,1.3532E+11,,26038000000,1.17786E+12,4034000000,752000000,9462000000,4950000000,1.14067E+12,534000000,1.25286E+11,2019-1-1,-6.62686E+11,CNY,合并,年度报告,年度报告,10008224
,1.69954E+12,2020-12-31,,,,,,94096000000,,,1.89032E+11,,196000000,,0,,2366000000,,,,,83663000000,4978000000,2.0047E+11,2132000000,3.25202E+12,0,18051000000,,96186000000,,0,,0,-1.01841E+11,,8.60702E+11,2020-3-30,0,0,,,1.10265E+11,1,,,2019-12-31,41971000000,,2.67074E+12,8.88778E+11,,,1.5043E+12,,3.3817E+11,,,1.9287E+11,,1.29797E+12,0,5.81287E+11,84077000000,,0,,,99061000000,,,0,,,,1.99208E+12,,1.60777E+11,,0,1.96387E+12,2021-3-27,,79052000000,,1.46128E+12,1.05234E+12,1.91638E+11,3.55758E+11,,,4.49854E+11,1.83478E+11,,3.5769E+11,,0,,,23234000000,1.85918E+11,1.79849E+11,,4740000000,7609000000,42106000000,,1.0302E+11,2019-1-1,-2.92548E+11,CNY,合并,年度报告,年度报告,10008225
,5.36246E+12,2019-12-31,14342000000,,,,,,,,29394000000,,,,0,,161000000,,,,,,,15277000000,1.028E+11,5.8948E+11,0,,,,5241000000,0,,0,1.66667E+11,,5.49177E+11,2020-4-29,0,0,,,23143000000,1,,,2019-12-31,,,1.17749E+12,2.24627E+11,,,5.21988E+12,,,,,1.28078E+11,,5.4491E+11,0,-5.88009E+11,1.02222E+12,,0,,,44076000000,,,0,,,,4.76012E+12,,1.34656E+11,,0,4.74399E+12,2020-4-29,238000000,8.1013E+11,32145000000,3.36384E+11,7.3173E+11,1.82553E+11,,10612000000,67358000000,1.00499E+11,13192000000,,1.43797E+11,,0,,,5517000000,8.55552E+11,,,1558000000,1346000000,9.90074E+11,,25691000000,2019-1-1,6.02337E+11,CNY,合并,年度报告,年度报告,10008226
,4.66809E+11,2020-12-31,,,,87000000,,12209000000,,,26083000000,,,,0,,164000000,,,87000000,,32189000000,,46386000000,36303000000,5.87214E+11,0,,,1311000000,,0,,0,1.58667E+11,,1.61801E+11,2020-2-14,0,0,,,22879000000,1,,,2019-12-31,6.09328E+11,56489000000,6.27239E+11,2.01527E+11,,,4.35711E+11,,,,,30934000000,,3.74197E+11,0,-40025000000,6.09328E+11,,0,,,3364000000,,,0,,,,5.68865E+11,,56489000000,,0,5.65312E+11,2021-2-2,,4.41513E+11,,2.8585E+11,1.79058E+11,17257000000,,,,12209000000,19864000000,,80989000000,,0,,,3553000000,4.50661E+11,33500000000,,671000000,,6.09328E+11,,18090000000,2019-1-1,-1.02056E+11,CNY,合并,年度报告,年度报告,10004085
42377000000,1.95579E+12,2019-12-31,,,,15474000000,,,,,2.44581E+11,,4763000000,,0,2657000000,1178000000,,,15474000000,,,,2.08474E+11,,2.73607E+12,0,,,,,0,,0,3.51765E+11,,9.78441E+11,2020-3-31,0,0,,,88315000000,1,,,2019-12-31,1.25825E+11,,2.3835E+12,7.26967E+11,,,1.73157E+12,10021000000,,,,2.23034E+11,,1.44287E+12,0,3.52571E+11,1.59148E+12,,0,,,65462000000,,,0,1.03876E+11,,,2.18659E+12,,,,0,2.16982E+12,2020-3-31,,,,1.55182E+12,1.45458E+12,4.7614E+11,,,1.46253E+11,,1.73726E+11,,3.42409E+11,,0,,,14110000000,1.23971E+12,,,2609000000,,1.46565E+12,49587000000,1.19065E+11,2019-1-1,-2.30805E+11,CNY,合并,年度报告,年度报告,10008271
,6.55741E+11,2020-12-31,,,4.13115E+11,1.04171E+11,,,,,41064000000,,,,0,,2957000000,67192000000,,1.71363E+11,,,,60249000000,54970000000,1.01792E+12,0,,,10781000000,,0,,0,86728000000,,2.43492E+11,2020-3-28,0,0,,,27294000000,1,1.62399E+11,,2019-12-31,39994000000,,1.10047E+12,3.31568E+11,,,5.65819E+11,,,,,86965000000,,4.9123E+11,0,-82545000000,2.08265E+11,,0,,,34709000000,,,0,30710000000,,,7.37549E+11,,24219000000,,0,7.05173E+11,2021-3-27,,,,4.13115E+11,1.67735E+11,-75757000000,,,30710000000,,30844000000,,2.37441E+11,,0,,,32376000000,1.21537E+11,10781000000,,1868000000,,1.68271E+11,,31138000000,2019-1-1,-81808000000,CNY,合并,年度报告,年度报告,10008272
,2.96825E+12,2019-12-31,,,,,,,,,3.22956E+11,,45987000000,,0,,10554000000,,,,,,1249000000,80064000000,59590000000,1.72182E+12,0,,,29958000000,,0,,0,2.93111E+11,,1.6886E+12,2020-3-28,0,0,,,57425000000,1,,,2019-12-31,,,2.20609E+12,7.16842E+11,,,2.7986E+12,,,61000000,,1.5763E+11,,1.32276E+12,0,-4.84266E+11,1.12687E+12,,0,,,96557000000,,,0,,,,3.13393E+12,,,,0,3.09366E+12,2020-3-28,,6.84069E+11,1.41341E+11,8.724E+11,1.34589E+12,-3.42708E+11,,,,,22558000000,,3.54697E+11,,0,,,39019000000,8.33763E+11,29958000000,1459000000,14125000000,7150000000,9.85472E+11,,88665000000,2019-1-1,-1.65678E+11,CNY,合并,年度报告,年度报告,10008273
,1.35856E+12,2020-12-31,2477000000,11023000000,,10718000000,,64918000000,,,76234000000,,,,0,,,,,10718000000,,1.08023E+11,,10275000000,,7.77281E+11,0,,,13907000000,,0,,0,1.51767E+11,,1.87644E+11,2020-4-25,0,0,,1.1683E+11,33010000000,1,,2.42337E+11,2019-12-31,,,8.45909E+11,2.79292E+11,,,1.281E+12,,,,,75082000000,,4.91993E+11,0,-68628000000,1.23933E+12,,0,,36955000000,42301000000,,,0,,,,1.42553E+12,,26727000000,,0,1.4167E+12,2021-3-27,24000000,1.04526E+12,24000000,3.3554E+11,2.05084E+11,17440000000,,,,64918000000,6577000000,,1.27853E+11,,0,,,8829000000,1.08756E+12,1.2193E+11,,1274000000,,1.23931E+12,12949000000,25174000000,2019-1-1,-66973000000,CNY,合并,年度报告,年度报告,10002252
41161000000,1.3161E+12,2019-12-31,,,,,,,,,22150000000,,,,0,,501000000,4997000000,,4997000000,,12058000000,3000000,10280000000,1.03051E+11,8.43854E+11,0,,,,,0,,0,1.57688E+11,,1.38026E+11,2020-3-31,0,0,,,18826000000,1,,,2019-12-31,59968000000,72461000000,9.28781E+11,2.49871E+11,,,1.23401E+12,,,,,81593000000,,4.86081E+11,0,-84927000000,9.95401E+11,,0,,,28502000000,,,0,,,,1.38319E+12,,,,0,1.37497E+12,2020-3-31,,8.05232E+11,,5.50667E+11,1.4465E+11,6624000000,26755000000,,41161000000,26755000000,15981000000,,1.30078E+11,,0,,,8218000000,8.37713E+11,12058000000,,954000000,3979000000,9.35433E+11,,28218000000,2019-1-1,-67091000000,CNY,合并,年度报告,年度报告,10002264
,8.57293E+11,2020-12-31,,,4.43748E+11,,,,,,15129000000,,4.03965E+11,,0,,5063000000,,,35458000000,27631000000,,46000000,16067000000,43625000000,9.03126E+11,0,,,,,0,36397000000,0,1.1045E+11,65938000000,5.43683E+11,2020-3-21,0,0,,,50865000000,1,,,2019-12-31,4.57889E+11,9819000000,8.98694E+11,3.23177E+11,,,8.0297E+11,,,6509000000,,49221000000,,5.09737E+11,0,4432000000,5.62636E+11,29541000000,0,84676000000,,25673000000,,,0,52493000000,,,9.27864E+11,,,,0,9.03854E+11,2021-3-20,,,,5.28424E+11,5.89675E+11,45992000000,,,52493000000,,,,1.08812E+11,,0,,,23964000000,4.52186E+11,,39000000,1681000000,185000000,70607000000,,42276000000,2019-1-1,-70571000000,CNY,合并,年度报告,年度报告,10002271
23227000000,1.94162E+12,2020-12-31,,,4.17812E+11,788000000,,18513000000,,,96926000000,,3011000000,,0,,399000000,,,788000000,,,,11036000000,44840000000,9.99387E+11,0,,,,,0,,0,1.00579E+11,70522000000,3.76009E+11,2020-3-27,0,0,,,25380000000,1,,,2019-12-31,39993000000,,8.82418E+11,3.25336E+11,,,1.94053E+12,29279000000,,,243000000,373000000,,4.40025E+11,0,1.16969E+11,6.26263E+11,70522000000,0,1.70271E+11,,35881000000,,,0,8467000000,,,2.19469E+12,,,,0,2.19063E+12,2021-3-26,,4.86792E+11,,5.88083E+11,3.42449E+11,-33560000000,,,31694000000,18513000000,44865000000,,1.25832E+11,,0,44865000000,321000000,4056000000,5.25684E+11,,,1956000000,,5.8627E+11,,28443000000,2019-1-1,-2.53064E+11,CNY,合并,年度报告,年度报告,10008350
,5526237645,2019-12-31,1359730721,,,,,,,,1008785049,,,,0,,2900,,,,,130113000,,10010749.49,,1554180272,0,,,,,0,,0,192457243.1,,1192528393,2020-4-28,0,0,,,244286848.8,1,,,2019-12-31,,-239436107,2956138499,1414056523,,,3911643332,,,2200000000,,254860692,,1580000000,0,-1401958227,2200000000,,0,,,157542756.9,,,0,,,,4682211219,,,,0,4677434359,2020-4-28,,,,,827053835.3,-365474557.8,,,,,,,1106099.62,,0,,,4776860.23,2007542757,130113000,,,1850000000,,,361396608.5,2019-1-1,844026426.1,CNY,合并,年度报告,年度报告,10005509
8843282000,1.17095E+12,2019-12-31,1586000,,,,,,,,5049013000,,,,0,,,,,,,,,3570673000,,1.72027E+11,0,,,,,0,,0,-19898811000,,26941950000,2020-4-30,0,0,,,4596752000,1,,,2019-12-31,,,1.43872E+11,65697567000,,,1.1673E+12,,,,,3648762000,,93006130000,0,28154431000,1.76322E+11,,0,,,6900560000,,,0,,,,1.17015E+12,,,,0,1.1696E+12,2020-4-30,,1.8932E+11,,64463858000,36108572000,9166622000,,,8843282000,,8368506000,,27029734000,,0,,,558257000,1.96221E+11,,,119160000,,1.76322E+11,29926050000,5347312000,2019-1-1,791842000,CNY,合并,年度报告,年度报告,10009846
,5.53958E+11,2019-12-31,,,,,,,,,17383000000,,,,0,,332000000,,,14752000000,,,,2364000000,29513000000,5.10171E+11,0,,,,,0,,0,8830000000,,66204000000,2020-4-17,0,0,,,13346000000,1,,,2019-12-31,,,4.31089E+11,1.22738E+11,,,5.18775E+11,1141000000,,,,34851000000,,2.95951E+11,0,79082000000,42493000000,,0,,,8663000000,,,0,,,,6.15602E+11,,,,0,6.14588E+11,2020-4-17,,25000000000,39993000000,1.72057E+11,92667000000,26463000000,,,,,28528000000,,59515000000,63140000000,0,,,1014000000,33663000000,1.05451E+11,,195000000,,2500000000,,15381000000,2019-1-1,-61644000000,CNY,合并,年度报告,年度报告,10007156
21836000000,3.07531E+11,2019-12-31,102000000,1179000000,,,,14387000000,,,19500000000,,,,0,,8000000,,,,,,,43639000000,,3.37106E+11,0,15153000000,,,,0,,0,-29664000000,,1.95813E+11,2020-4-28,0,0,,44230000000,11031000000,1,,83301000000,2019-12-31,,,3.1691E+11,92404000000,,,2.71238E+11,,,,,36183000000,,1.98315E+11,0,20196000000,3.10483E+11,,0,,9103000000,21936000000,,,0,,,,3.07133E+11,,,,0,3.02011E+11,2020-4-28,,3.18211E+11,,1.40398E+11,1.86941E+11,-8872000000,,,21836000000,14387000000,34312000000,,45409000000,,0,,,5122000000,3.40147E+11,,,198000000,,3.10483E+11,26353000000,6432000000,2019-1-1,398000000,CNY,合并,年度报告,年度报告,10008249
18277883000,1.81062E+12,2019-12-31,,,,,,990487000,,,7605834000,,,,0,,18306000,,,,,35733472000,,1856553000,,2.33862E+11,0,,,,,0,,0,356315000,8336116000,25573215000,2020-4-25,0,0,,,2879052000,1,,,2019-12-31,,,1.93524E+11,42476924000,,,1.79526E+12,,,,,15345852000,,98787434000,0,40338631000,3.76509E+11,,0,,,7266125000,,,0,,,,1.83493E+12,,29959489000,,0,1.83232E+12,2020-4-25,,3.68885E+11,,1.3923E+11,42051752000,16478537000,,,18277883000,990487000,,,19100160000,,0,,,2608517000,3.76153E+11,35733472000,,90321000,1132000,3.76509E+11,14565000000,7587201000,2019-1-1,-24306730000,CNY,合并,年度报告,年度报告,10034047
