ASSETDEVALUELOSS,BASICEPS,CINCOMEBALANCE1,CINCOMEBALANCE2,COMBINETYPE,COMPANYCODE,CURRENCY,DILUTEDEPS,ENDDATE,EXCHANGEINCOME,FIRSTNOTICEDATE,FVALUEINCOME,INCOMETAX,INVESTINCOME,INVESTJOINTINCOME,ISLISTINGREPORT,LATESTNOTICEDATE,MINORITYCINCOME,MINORITYINCOME,NETPROFIT,NETPROFITBALANCE1,NETPROFITBALANCE2,NETPROFITOTHER1,NETPROFITOTHER2,NONOPERATEEXP,NONOPERATEREVE,OPERATEEXP,OPERATEEXPBALANCE,OPERATEEXPOTHER,OPERATEMANAGEEXP,OPERATEPROFIT,OPERATEPROFITBALANCE,OPERATEPROFITOTHER,OPERATEREVE,OPERATETAX,OTHERCINCOME,OTHEREXP,OTHERREVE,PARENTCINCOME,PARENTNETPROFIT,REPORTDATE,REPORTSOURCETYPE,REPORTTIMETYPE,REVEBALANCE,REVEOTHER,STARTDATE,SUMCINCOME,SUMPROFIT,SUMPROFITBALANCE,SUMPROFITOTHER,OTHERCINCOMECANTREC,REMEDEFINEDBENEFIT,INVESTEDCANTREC,CANTRECOTHER,CANTRECBALANCE,OTHERCINCOMEREC,INVESTEDREC,FVALUEOSALABLE,MATURITYRECSALABLE,EFFECTIVECAFLHEDGING,DIFFCONVERSIONFC,RECOTHER,RECBALANCE,OTHERCINCOMEOTHER,OTHERCINCOMEBALANCE,NONLASSETREVE,NONLASSETNETLOSS,PARENTOTHERCINCOME,PAROTHCINOTHER,PAROTHCINBALA,MINORITYOTHERCINCOME,FINDATATYPECODE,ADISPOSALINCOME,CONTINUOUSONPROFIT,TERMINATIONONPROFIT,MIOTHERINCOME,CREDDEVALUELOSS,OTHERRIGHT_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE,FINANCE_OCI_AMT,CREDITOR_IMPAIRMENT_RESERVE,ACF_END_INCOME,AMORTISEDUTYRESERVE,AMORTISEINDEMNITYEXP,AMORTISERIEXP,BANKINTEXP,BANKINTNREVE,BANKINTREVE,COMMEXP,DUTYRESERVE,FINANCEEXP,INDEMNITYEXP,INSURREVE,INTEXP,NINSURCOMMEXP,NINSURCOMMNREVE,NINSURCOMMREVE,POLICYDIVIEXP,PREMIUMEARNED,PREMIUMEARNEDBALANCE,RIEXP,RIPREMIUM,RIREVE,SURRENDERPREMIUM,UNDUERESERVE,AGENTTRADESECURITY,CLIENTASSETMANAGE,COMMNREVE,COMMNREVEOTHER,FINACONSULT,FUNDMANAGE,FUNDSALE,INTNREVE,SECURITYBROKER,SECURITYUW,SPONSOR,BROKER_FEE_NI,INVESTBANK_FEE_NI,ASSETMANAGE_FEE_NI
,0.08,,,合并,10005633,CNY,0.08,2020-12-31,644769.37,2020-3-6,-156239083.4,63527888.49,1026631551,249260628.5,1,2021-3-16,61161337.91,73766072.33,144343530.2,,,,,4159720.64,5219555.26,1312454540,0,,1302928783,206811584.1,0,,1519266124,11811512.79,-80809639.36,2612361.78,28404727.64,2372552.95,70577457.89,2019-12-31,年度报告,年度报告,0,,2019-1-1,63533890.86,207871418.7,0,,-13658860.26,,,,,-54546044.68,-39438843.58,,,,,,,,,,,-68204904.94,,,-12604734.42,3,-336174.48,144343530.2,,5324545.26,-4898118.3,-13658860.26,,-14421989.56,,-685211.54,,,,,,,,,,,,,,,,,,,,,,,,,448107644.8,73254143,1162374132,,,,,-547538344,,630913316.7,,,,
,0.27,,,合并,10005647,CNY,0.27,2020-12-31,5840975.8,2020-3-30,141544624.9,236526952.7,518271151.1,127312740.9,1,2021-3-30,427353.8,427353.8,914788918.3,,,,,5270790.84,52058016.09,2094279722,0,,1669362955,1104528646,0,,3198808368,40985384.96,99668279.33,15124517.99,27104123.07,1014029844,914361564.5,2019-12-31,年度报告,年度报告,0,,2019-1-1,1014457198,1151315871,0,,,,,,,99668279.33,153332.93,,,,30786398.74,,,,,,,99668279.33,,,,3,13619786.09,914788918.3,,9994312.05,368806864.1,,,88193549.28,,-19465001.62,,,,,,,,,,,,,,,,,,,,,,,,,682291349.2,118189484.3,1203254038,,,,,1279179357,,399840781,,,,
,0.11,,,合并,10005659,CNY,0.11,2020-12-31,729341.74,2020-3-28,219576692,172845438.7,760118899.5,34299918.38,1,2021-3-20,56166874.77,56166874.77,543883656.2,,,,,4997100.28,6242315.01,2844724198,0,2580000,1848957349,715483880.2,0,,3560208078,21252507.39,30845398.4,541002635.3,548360567.3,518562179.9,487716781.5,2019-12-31,年度报告,年度报告,0,,2019-1-1,574729054.6,716729094.9,0,,,,,,,30845398.4,,,,,,,,,,,,30845398.4,,,,3,,543883656.2,,22100479.43,430931706.2,,,23071016.02,,7774382.38,2754136.46,,,,,,,,,,,,,,,,,,,,,,,,543058494.3,296881649.2,1475116880,,,,,534205217.4,,357899288.7,,,,
,0.068,,,合并,10062057,CNY,0.068,2019-12-31,245702.35,2020-4-30,706295223,154304212.7,686916099.5,15934014.96,1,2020-4-30,10912968.65,10912968.65,473817380.3,,,,,14763743.61,59920809.11,1194016803,0,,1180343164,582964527.5,0,,1776981331,14080627.14,-14198698.72,,,448705713,462904411.7,2019-12-31,年度报告,年度报告,0,,2019-1-1,459618681.6,628121593,0,,2076187.33,,,,,-16274886.05,-11175185.64,,,,,,,,,,,-14198698.72,,,,3,2069.01,473817380.3,,11046409.73,-406987.44,2076187.33,,-39374782.54,,34275082.13,,,,,,,,,,,,,,,,,,,,,,,,,329792035.1,148195537.9,601679980.2,,,,,-229204153.1,,107575592.3,,,,
,0.428,,,合并,10005840,CNY,0.428,2020-12-31,1055300.72,2020-2-29,-43621665.52,650582069,2110831080,8230711.19,1,2021-3-20,494740069.7,494740069.7,1673627934,,,,,60676616.33,42795850.62,9429815975,,,,2342090769,0,,9929246919,48556257.57,1284826,3186006145,3212671896,1180172690,1178887864,2019-12-31,年度报告,年度报告,,,2019-1-1,1674912760,2324210003,0,,1356210.6,,,,,-71384.6,-71384.6,,,,,,,,,,,1284826,,,0,4,3024.27,1168524757,505103176.8,66094319.78,,1356210.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278995041,,,,,627298296.8,,,,,,
,0.0492,,,合并,10194966,CNY,0.0492,2019-12-31,317869.61,2020-4-30,267020505.8,107588522.6,427104144,-5875736.9,1,2020-4-30,-396252.28,-396252.28,94809842.96,,,,,9513296.65,202561379,2286639466,,,,9350283.26,0,,1669714291,9808122.53,30624101.4,,,125830196.6,95206095.24,2019-12-31,年度报告,年度报告,,,2019-1-1,125433944.4,202398365.6,0,,,,,,,30624101.4,5567256.92,,,,18104947.64,,,,,,,30624101.4,,,,4,3152.36,94809842.96,,20440359.15,,,,7248788.22,,-296891.38,,,,,,,,,,,,,,,,,,,,,,,,,,,794100680.8,,,,,307948221.4,,,,,,
,0.31,,,合并,10004819,CNY,0.31,2020-12-31,454323.94,2020-3-30,556696033.5,268663433.5,1019149248,140907471.5,1,2021-3-31,105817896,105817896,1214177011,,,,,11891680.72,1604689.96,1738477947,0,,1247012483,1493127435,0,,3231605382,27354889.37,-109192787.2,35629906.69,40409995.06,999166327.6,1108359115,2019-12-31,年度报告,年度报告,0,,2019-1-1,1104984224,1482840444,0,,-72812164.66,,,,,-36380622.55,,,,,,,,,,,,-109192787.2,,,,3,-388317.41,1214177011,,8366091.51,428480667.5,-72812164.66,,-34758400.8,,-1622221.75,,,,,,,,,,,,,,,,,,,,,,,,,708484171.1,113069925.6,1065891146,,,,,541026861.4,,190651815.5,,,,
,0.9,,,合并,10004865,CNY,0.9,2020-12-31,-65187437,2020-3-25,1700449129,2393263409,7311009144,174013400,1,2021-3-26,499232846,414318555,9051356047,,,,,47209051,32471227,18489954493,0,20901766,11593615960,11459357280,0,,29949311773,136880106,922624825,4688979179,4826953629,9474748026,8637037492,2019-12-31,年度报告,年度报告,0,,2019-1-1,9973980872,11444619456,0,,634923924,,93256636,,,202786610,-7391516,,,,211690820,,,,,,,837710534,,,84914291,3,8405974,9051356047,,654560112,2049577482,541667288,,-40880236,,39367542,,,,,,,,,,,,,,,,,,,,,,,,,5629583202,1665468283,10286365353,,,,,5226755869,,2592758819,,,,
,0.443,,,合并,10120316,CNY,,2019-12-31,-4664509.93,2020-4-30,498275207.7,231308321.2,586817586.2,47353088.33,1,2020-4-30,747237.14,747237.14,1221446097,,,,,14160671.36,66946941.37,2573421224,0,,2073216703,1399968148,0,,3973389372,31111264.92,6095560.87,2558379.84,4865070.25,1226794420,1220698859,2019-12-31,年度报告,年度报告,0,,2019-1-1,1227541657,1452754418,0,,-147680206.8,,,,,153775767.7,,,,,33681383.22,,,,,,,6095560.87,,,,3,180519.06,1221446097,,9718416.49,466534876.4,-147680206.8,,114802289.5,,5292095.04,,,,,,,,,,,,,,,,,,,,,,,,,691396790.1,355725292.8,2091802573,,,,,786394508.6,,1016415306,,,,
,0.35,,,合并,10004846,CNY,,2020-12-31,12163513.1,2020-3-28,936710069.6,375791852.5,3414721885,591070224.8,1,2021-3-31,43659092.16,43659092.16,2478738856,,,,,55912190.65,159009087.8,16300663502,0,,5941425533,2751433812,0,,19052097314,71338550.08,490323357.7,9243441369,9258637496,2925403122,2435079764,2019-12-31,年度报告,年度报告,0,,2019-1-1,2969062214,2854530709,0,,54015258.85,,,,,436308098.8,-8523909.69,,,,7503300.78,,,,,,,490323357.7,,,,3,-187362.49,2478738856,,23767187.04,1044458050,54015258.85,,421056784.9,,16271922.8,,,,,,,,,,,,,,,,,,,,,,,,,1545590314,1800229825,4515662530,,,,,890621995.9,,1050011889,,,,
,0.15,,,合并,10004838,CNY,0.15,2020-12-31,468132.72,2020-3-31,354483081.4,109472834.5,683411769.2,137911913.2,1,2021-3-30,69929775.63,70065418.34,583123487.2,,,,,493000,5664126.46,1895846336,0,,1550539298,687425195.2,0,,2583271531,20076537.18,-212203.14,11303337.53,55281796.63,512981508.5,513058068.9,2019-12-31,年度报告,年度报告,0,,2019-1-1,582911284.1,692596321.7,0,,,,,,,-76560.43,-76560.43,,,,,,,,,,,-76560.43,,,-135642.71,3,68167.54,583123487.2,,4014925.93,313927163.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287116367.7,750577784.3,1578021439,,,,,-92477781.07,,415018164.6,,,,
,0.56,,,合并,10004769,CNY,0.56,2019-12-31,-2603399.63,2020-3-20,712200676,1318232695,4504773857,554833536.6,1,2020-3-20,3465589.99,3465589.99,4913652796,,,,,269794983.2,37029276.76,7628263418,0,1731534.1,5559822788,6464651198,0,,14092914616,98641691.37,604974945.3,948464362.6,973083467.9,5515162152,4910187206,2019-12-31,年度报告,年度报告,0,,2019-1-1,5518627742,6231885492,0,,547203199.5,,,,,57771745.77,-8028937.67,,,,8492222.67,,,,,,,604974945.3,,,,3,-384988.22,4913652796,,45052002.21,1019603042,547203199.5,,33726456.76,,23582004.01,,,,,,,,,,,,,,,,,,,,,,,,,4091799803,236254572.3,6161018388,,,,,1699774612,,1425919341,,,,
2000000,0.29,,,合并,10004930,CNY,0.29,2020-12-31,720095.62,2020-3-19,142051074.9,321245372.4,1202340276,999476.56,1,2021-3-18,,,967557059.4,,,,,8157081.5,1779844.75,4364298969,0,,2077134220,1295179669,0,,5659478638,33230165.3,921536.31,2283808971,2315723473,968478595.7,967557059.4,2019-12-31,年度报告,年度报告,0,,2019-1-1,968478595.7,1288802432,0,,,,,,,921536.31,,,,,921536.31,,,,,,,921536.31,,,,3,3113668.88,967557059.4,,27203151.07,-31874387.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898253561.5,266290148.6,1661417868,,,,,306909030.5,,313341169.7,,,,
2110521.68,0.52,,,合并,10004876,CNY,,2020-12-31,21593019.93,2020-3-28,1655790172,1579984892,3251790865,10886467.81,1,2021-3-30,23560492.16,21715409.22,5250144461,,,,,48290376.24,29148508.07,10191546075,0,,6955044196,6849271221,0,,17040817296,124430190.2,599275966.2,2701626654,2790162114,5825859935,5228429052,2019-12-31,年度报告,年度报告,0,,2019-1-1,5849420427,6830129353,0,,364306845.3,-6001763.9,-390603.17,,,233124037.9,5518671.14,,,20534613.13,120094402.6,,,,,,,597430883.2,,,1845082.94,3,-1882634.5,5250144461,,58383136.98,408334513.4,370699212.4,,34613316.11,,52363034.92,65805388.92,,,,,,,,,,,,,,,,,,,,,,,,4551498096,633750486.5,5773267870,,,,,3491712753,,480027166.3,,,,
9760642.03,0.02,,,合并,10004941,CNY,0.02,2020-12-31,-2411060.48,2020-3-31,-165217912,41034744.4,929911611.5,41652088.18,1,2021-3-31,20941021.22,16860122.98,75082868.42,,,,,7025663.04,9408024.38,2258791740,0,,1303740017,113735251.5,0,,2372526991,14420697.18,12417598.13,581172268.5,588755236.7,66559445.33,58222745.44,2019-12-31,年度报告,年度报告,0,,2019-1-1,87500466.55,116117612.8,0,,,,,,,8336699.89,2251346.29,,,,3881357.85,,,,,,,8336699.89,,,4080898.24,3,22972242.66,75082868.42,,8890812.2,349698115.4,,,2249077.3,,-45081.55,,,,,,,,,,,,,,,,,,,,,,,,,517788467.7,65064514.83,961128437.6,,,,,28497623.04,,246803568,,,,
139861071.1,0.24,,,合并,10004830,CNY,0.24,2020-12-31,202521942.2,2020-3-28,-101252977.7,1123890281,5709265162,282138478.3,1,2021-3-31,96917904.21,67928351.97,5803340743,,,,,26395677.47,2566613.77,17642351675,0,,7911467217,6951060088,0,,24593411763,145938365,1295803280,8724966584,8967620964,7002226119,5735412391,2019-12-31,年度报告,年度报告,0,,2019-1-1,7099144023,6927231024,0,,1090058430,,,,,176755297.8,5489411.73,,,,60968890.38,,,,,,,1266813727,,,28989552.24,3,79878.72,,,185840650.4,720118436.7,1090058430,,33369043.99,,76927951.67,451703684.3,,,,,,,,,,,,,,,,,,,,,,,,3796679207,1289606696,6409661110,,,,,3219675033,,1162452947,,,,
41100.92,0.29,,,合并,10106348,CNY,0.29,2020-12-31,-540617.61,2020-3-10,2476702.97,38059779.45,21979602,,1,2021-3-31,,,120810930.9,,,,,584824.32,112197.73,791908186,0,9001199.48,154886937,159343337,0,,951251523,1688826.18,1539645.97,626718930.3,627400026.4,122350576.9,120810930.9,2019-12-31,年度报告,年度报告,0,,2019-1-1,122350576.9,158870710.4,0,,,,,,,1539645.97,,,,,1539645.97,,,,,,,1539645.97,,,,3,-59994.27,120810930.9,,1693137.28,-428807.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189629509.3,18727174.65,213128880.2,,,,,85173786.09,,,,,,
,0.55,,,合并,10004804,CNY,0.55,2019-12-31,463860.92,2020-3-31,295668343.3,433300753.3,830914665,-4485098.61,1,2020-3-31,9342.85,9342.85,1431540168,,,,,13393264.9,7033137.72,2066223525,0,2960274.1,1997116829,1871201048,0,,3937424573,31496150.42,47518149.37,844831.44,11187697.23,1479048974,1431530825,2019-12-31,年度报告,年度报告,0,0,2019-1-1,1479058317,1864840921,0,,-403156.07,0,0,0,,47921305.44,0,,,0,0,0,,,,,,47518149.37,,,0,3,-219502.33,1431540168,0,23137431.47,33805439.88,-403156.07,0,17577398.5,0,30343906.94,0,,,,,,,,,,,,,,,,,,,,,,,,1003218610,83121614.61,1606653877,,,,,1169618200,,520494494.9,,,,
1220168.79,0.15,,,合并,10095670,CNY,0.15,2020-12-31,-2288939.88,2020-3-14,-5357859.57,34762869.59,159587066.4,,1,2021-3-16,148055.19,76931.83,79570137.49,,,,,2029437.89,560283.22,9421724004,0,9141675.13,454762357.3,115802161.8,0,,9537526165,2369725.53,13516417.03,8947601067,8978029847,92938499.33,79493205.66,2019-12-31,年度报告,年度报告,0,,2019-1-1,93086554.52,114333007.1,0,,1803886.39,,,,,11641407.28,,,,,11641407.28,,,,,,,13445293.67,,,71123.36,3,-111157.22,79570137.49,,18736814.59,6629010.35,1803886.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219614003.5,,,,,169316390.2,,,,,,
,0.52,,,合并,10053660,CNY,0.52,2019-12-31,25626.72,2020-4-25,986922837.9,346166025.5,1413247028,613865493,1,2020-4-25,2696968.83,2696968.83,1875759492,,,,,11895286.87,358883.27,2718781684,0,,2617971443,2233461921,0,,4952243605,20964641.86,47479491.42,1789087,11643242.4,1920542015,1873062523,2019-12-31,年度报告,年度报告,0,,2019-1-1,1923238984,2221925518,0,,4655617.21,,,,,42823874.21,7823640.08,,,,8422866.22,,,,,,,47479491.42,,,,3,,1875759492,,16624174.81,78056511.54,4655617.21,,24396719.49,,2180648.42,,,,,,,,,,,,,,,,,,,,,,,,,811028390.5,1065217278,2295892104,,,,,227888591.4,,401274113.2,,,,
,0.059,,,合并,10004866,CNY,0.059,2019-12-31,-1148442.75,2020-4-28,323190388,41413622.91,1220632901,19763682.93,1,2020-4-28,45889009.88,113124097.3,420891652.4,,,,,11650246.33,75497821.47,3447643030,0,,2405733794,398457700.2,0,,3846100730,30245719.81,-309945448.5,527962464.3,568619307.1,65057193.97,307767555.1,2019-12-31,年度报告,年度报告,0,,2019-1-1,110946203.9,462305275.3,0,,-244821553.1,,,,,2111192.04,869794.07,,,,5307726.07,,,,,,,-242710361.1,,,-67235087.45,3,49375.77,420891652.4,,3308761.85,483701052.3,-244821553.1,,-4230821.53,,164493.43,36830173.22,,,,,,,,,,,,,,,,,,,,,,,,577167543.3,666861144.7,2104060852,,,,,-372612412,,743894162.9,,,,
,0.3,,,合并,10004894,CNY,0.3,2019-12-31,-13530867.14,2020-4-28,749285526.3,539392345.5,1728954465,53191115.48,0,2020-6-2,42115739.55,44534661.14,2293997728,,,,,22348157.25,9797548.04,6863046511,0,,5024812175,2845940683,0,,9708987194,67923104.23,338022690.7,1502656554,1599619057,2589904679,2249463067,2019-12-31,上市公告书,年度报告,0,,2019-1-1,2632020419,2833390074,0,,235518866.8,,-52065287.55,,,104922745.5,,,,,41693725.62,,,,,,,340441612.2,,,-2418921.59,3,-108077.53,,,70116128.93,267654677.9,287584154.3,,4942941.07,,58286078.77,,,,,,,,,,,,,,,,,,,,,,,,,2432030682,383695446.9,4072668476,,,,,1501982486,,1112908740,,,,
,0.16,,,合并,10004839,CNY,0.16,2020-12-31,316809.72,2020-4-20,61823603.24,35019723.18,280125789.8,,1,2021-3-31,-408759.4,-408759.4,441257802.6,,,,,5340728.92,8055625.48,537040470.3,0,,539567718.4,473562629.2,0,,1010603100,4645512.82,,111024.24,173111.54,441666562,441666562,2019-12-31,年度报告,年度报告,0,,2019-1-1,441257802.6,476277525.8,0,,,,,,,,,,,,,,,,,,,,,,,3,-369415.81,441257802.6,,45811116.06,-7283785.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256326715,81644721.77,438481146.1,,,,,184240938.9,,91355138.51,,,,
,0.27,,,合并,10004787,CNY,0.27,2020-12-31,6044149.79,2020-3-3,212503256.9,165141962.4,215228124.5,6599678.73,0,2021-3-19,,,521344151.1,,,,,2584892.52,1556683.24,931868050,0,,933595115.7,687514322.8,0,,1619382373,10709117.73,,,5731821.05,521344151.1,521344151.1,2019-12-31,年度报告,年度报告,0,,2019-1-1,521344151.1,686486113.5,0,,,,,,,,,,,,,,,,,,,,,,,3,187386.07,521344151.1,,8564551.92,-12436183.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359649401.6,64988601.15,673750381.9,,,,,497372700.6,,245652687.5,,,,
,0.22,,,合并,10004807,CNY,0.22,2019-12-31,582528.04,2020-4-2,182346080.3,230960789.5,212565145.6,23359298.75,1,2020-4-2,5334144.45,5334144.45,715145844.9,,,,,12479143.55,4168042.2,1247359530,0,,1189115928,954417735.7,0,,2201777266,20176535.35,69467266.47,,7613070.22,779278966.9,709811700.4,2019-12-31,年度报告,年度报告,0,,2019-1-1,784613111.3,946106634.3,0,,-25310780.63,,,,,94778047.1,,,,,,,,,,,,69467266.47,,,,3,64639.46,715145844.9,,7859793.13,38067066.48,-25310780.63,,70905468.24,,23872578.86,,,,,,,,,,,,,,,,,,,,,,,,,604015080.5,73518086.69,1000965906,,,,,789780102.9,,301637134.6,,,,
,0.67,,,合并,10066493,CNY,0.67,2020-12-31,287498.01,2020-3-27,1644324817,1624091521,2754579401,-7605510.94,1,2021-4-1,27960196.29,27960196.29,5529648448,,,,,26343881.93,15072608.53,6528176560,0,,6459340067,7165011243,0,,13693187802,98596737.38,270053676.3,29669298.84,61574862.19,5771741928,5501688251,2019-12-31,年度报告,年度报告,0,,2019-1-1,5799702124,7153739969,0,,117246856.7,,,,,152806819.5,-1352427.35,,,,33835423.58,,,,,,,270053676.3,,,,3,,5529648448,,48237142.76,-59429543.63,117246856.7,,105814531.6,,14509291.76,1087662.34,,,,,,,,,,,,,,,,,,,,,,,,2846683723,792854433,7625043430,,,,,1559140652,,3684648822,,,,
,0.32,,,合并,10004837,CNY,0.32,2019-12-31,1115425.5,2020-4-21,439682083.1,187480148.4,1034154952,246145992.1,1,2020-4-21,22393485.41,22393485.41,1014560629,,,,,996809.09,1752723.85,2697857631,0,,2021080004,1201284862,0,,3899142494,22546147.35,24219712.36,648631744.2,682449983.1,1016386856,992167143.3,2019-12-31,年度报告,年度报告,0,,2019-1-1,1038780341,1202040777,0,,-6545804.49,,,,,30765516.85,17452840.88,,,,,,,,,,,24219712.36,,,,3,,1014560629,,18805564.62,5599735.63,-6545804.49,,14739987.21,,-1427311.24,,,,,,,,,,,,,,,,,,,,,,,,,664858350.4,161318521.9,1459609667,,,,,263324818.8,,597158825.5,,,,
,0.24,,,合并,10004813,CNY,0.24,2020-12-31,112987.34,2020-3-30,291094581.6,277907278.5,1532210129,624277.26,1,2021-4-1,9949153.8,9949153.8,847490458,,,,,1579682.76,299643.73,939050732.2,0,,780772140.4,1126677776,0,,2065728508,15407470.14,1584432.35,107732020.1,111518769.2,839125736.6,837541304.2,2019-12-31,年度报告,年度报告,0,,2019-1-1,849074890.4,1125397737,0,,10488.06,,,,,1573944.29,,,,,,,,,,,,1584432.35,,,,3,-508497.34,847490458,,2375036.13,35139101.61,10488.06,,2403301.69,,-829357.4,,,,,,,,,,,,,,,,,,,,,,,,,184445387.6,90046338.35,368797987.9,,,,,-239872486.1,,70331994.73,,,,
2048333.33,0.32,,,合并,10004926,CNY,0.32,2020-12-31,1642481.81,2020-3-26,77655053.93,215346404.7,343113805.1,,0,2021-3-30,1808828.94,1808828.94,800061800.8,,,,,507050.34,16945469.43,1908697781,0,,1828816648,998969786.4,0,,2907667568,17213312.38,-971397.76,2064518.5,2145414.85,797281574.1,798252971.9,2019-12-31,年度报告,年度报告,0,,2019-1-1,799090403,1015408205,0,,,,,,,-971397.76,,,,,,,,,,,,-971397.76,,,,3,25235.8,,,93593962.6,58554968.79,,,-974144.39,,2746.63,,,,,,,,,,,,,,,,,,,,,,,,,601033144.5,731338068.5,1559304029,,,,,830187584.5,,217175620.1,,,,
,0.99,,,合并,10014783,CNY,,2020-12-31,128163134,2020-4-27,-2764522596,1053804852,9783568477,60403081,0,2021-3-31,9107513,9107513,4247826830,,,,,273198387,5670115,10186114639,0,,9938766920,5569159954,0,,15755274593,84392616,314339087,3357272,22034430,4553058404,4238719317,2019-12-31,年度报告,年度报告,0,,2019-1-1,4562165917,5301631682,0,,,,,,,314339087,-103278,,,,165151703,,,,,,,314339087,,,,3,16026,4247826830,,134618951,159597831,,,151999613,,-2708951,,,,,,,,,,,,,,,,,,,,,,,,,2978598591,754268033,9546721537,,,,,-1095325366,,4247587804,,,,
