ACCEPTINVREC,BUYFILASSETPAY,BUYSELLBACKFASSETPAY,BUYSELLBACKFASSETREC,CASHEQUIBEGINNING,CASHEQUIENDING,CASHEQUIENDINGBALANCE,CASHEQUIENDINGOTHER,COMBINETYPE,COMPANYCODE,CURRENCY,DISPFILASSETREC,DISPOSALINVREC,DISPSUBSIDIARYREC,DIVIPROFITORINTPAY,EFFECTEXCHANGERATE,EMPLOYEEPAY,ENDDATE,FINAFLOWBALANCE,FINAFLOWINBALANCE,FINAFLOWINOTHER,FINAFLOWOTHER,FINAFLOWOUTBALANCE,FINAFLOWOUTOTHER,FIRSTNOTICEDATE,INTANDCOMMPAY,INTANDCOMMREC,INVFLOWINBALANCE,INVFLOWINOTHER,INVFLOWOTHER,INVFLOWOUTBALANCE,INVFLOWOUTOTHER,INVINCOMEREC,INVPAY,ISSUEBONDREC,LATESTNOTICEDATE,LOANREC,NETFINACASHFLOW,NETINVCASHFLOW,NETOPERATECASHFLOW,NICASHEQUI,NICASHEQUIBALANCE,NICASHEQUIOTHER,NILENDFUND,OPERATEFLOWBALANCE,OPERATEFLOWINBALANCE,OPERATEFLOWINOTHER,OPERATEFLOWOTHER,OPERATEFLOWOUTBALANCE,OPERATEFLOWOUTOTHER,OTHERFINAPAY,OTHERFINAREC,OTHERINVPAY,OTHERINVREC,OTHEROPERATEPAY,OTHEROPERATEREC,REPAYDEBTPAY,REPORTDATE,REPORTSOURCETYPE,REPORTTIMETYPE,STARTDATE,SUMFINAFLOWIN,SUMFINAFLOWOUT,SUMINVFLOWIN,SUMINVFLOWOUT,SUMOPERATEFLOWIN,SUMOPERATEFLOWOUT,TAXPAY,TAXRETURNREC,BUYSUBSIDIARYPAY,DISPSUBSIDIARYPAY,DIVIPAY,INDEMNITYPAY,INVCASHFLOWBALANCE,NDBUYSELLBACK,NDDEPOSITINCBANKFI,NDINSUREDDEPOSITINV,NDLENDFUND,NDSELLBUYBACK,NETRIPAY,NETRIREC,NETSELLBUYBACKFASSETPAY,NETSELLBUYBACKFASSETREC,NETTRADEFASSETPAY,NETTRADEFASSETREC,NIBUYSELLBACK,NIDEPOSIT,NIDEPOSITINCBANKFI,NIINSUREDDEPOSITINV,NIINSUREDPLEDGELOAN,NILOANADVANCES,NISELLBUYBACK,PREMIUMREC,AGENTTRADESECURITYPAY,AGENTTRADESECURITYREC,AGENTUWSECURITYREC,GETSUBSIDIARYPAY,INVCASHFLOWBALANCE,NDBORROWFUND,NDBUYBACKFUND,NDDIRECTINV,NDDISPSALEABLEFASSET,NDDISPTRADEFASSET,NDOTHERFINAINSTR,NDTRADESETTLEMENT,NIBORROWFUND,NIBUYBACKFUND,NIDIRECTINV,NIDISPSALEABLEFASSET,NIDISPTRADEFASSET,NIOTHERFINAINSTRU,NITRADESETTLEMENT,SUBSIDIARYACCEPT,SUBSIDIARYPAY,UWSECURITYREC
,66144152.22,,2335851119,17587235445,19574313688,0,,合并,10005647,CNY,11369218.48,77086305.45,,1640707288,70396909.39,1277676805,2020-12-31,0,0,,,0,,2020-3-30,1107577661,4640739525,0,,,0,,53172406.59,65000000,22111360755,2021-3-30,17785644210,-2876751839,10483778.3,4782949395,1987078243,0,,,0,0,,,0,4141555295,,,,,775265747.4,168836320.2,41133049516,2019-12-31,年度报告,年度报告,2019-1-1,39897004965,42773756804,141627930.5,131144152.2,14586569394,9803619999,520791232.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3921850748,,,0,,,,,,,,100000000,3419291681,,,,,,,,
,106306920.4,,,10502678828,12586761019,0,,合并,10005659,CNY,117187.96,1252000000,,929511264.4,721699.74,959125185,2020-12-31,0,0,,,0,,2020-3-28,843096402.6,3002509711,0,,,0,,807844022.4,1783369416,2508430000,2021-3-20,,-1905381264,169732639.1,3819009116,2084082190,0,,,0,0,,,0,,,,813914.97,261679.81,1833982950,589952122.2,3484300000,2019-12-31,年度报告,年度报告,2019-1-1,2508430000,4413811264,2060222890,1890490251,10443444131,6624435015,357724795.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2914105813,,,0,1210000000,,,,,,,,3523835294,,,413041191.3,,,,23762410.47,
32287856,44945030.28,,5008614189,5508812026,7683589089,0,,合并,10062057,CNY,135440.67,1107390927,32400474.04,616605638.5,245702.35,721126390.6,2019-12-31,0,0,,,0,,2020-4-30,500614500.6,1418506301,0,,,0,,275334714.7,70083627.32,2893100000,2020-4-30,,-3824957801,1300232899,4699256263,2174777063,0,,,0,0,84769846.69,,0,,,,,,458309112.8,82572345.32,6133740019,2019-12-31,年度报告,年度报告,2019-1-1,2925387856,6750345657,1415261557,115028657.6,16271227858,11571971595,95997842.82,,,,,,,,,,,,,,,,,,,,,,,,,,,1624766585,,,0,465000000,9330923749,,,,,,,,,,8051998592,,,32287856,,
1367072496,97710011.8,,,14287755796,20803641237,0,,合并,10005840,CNY,112326.22,,3249678524,2701696191,-3697481.84,1338767618,2020-12-31,0,0,,,0,,2020-2-29,1359794422,5073301646,0,,,0,,213119494.8,3669730944,,2021-3-20,36284924245,2643974476,494075007.6,3381533440,6515885441,0,,,0,0,8122999947,,0,36941556306,3654165650,2894800000,,,5165397676,37592748983,31546960424,2019-12-31,年度报告,年度报告,2019-1-1,40546796741,37902822265,3462910345,2968835337,58474300383,55092766943,914961441.8,3898664.68,,,,,,,,,,,,,,,,,,,,,,,,,,1992593686,,-798605619.2,0,4300000000,4714897763,,,,,,5688757456,,,,,,,1367072496,122205330.7,
,224222621.9,,,6218667719,8154348020,0,,合并,10194966,CNY,173338.72,2108109297,,366376941.4,352836.26,897983312.7,2019-12-31,0,0,,,0,,2020-4-30,462026803.7,2257562525,0,,,0,,130586350.7,795776631.4,5307724596,2020-4-30,,-1705320765,1218849733,2421798497,1935680301,0,,,0,0,,,0,686629855.3,,60000000,,,1318657286,376529884.2,6706668420,2019-12-31,年度报告,年度报告,2019-1-1,5367724596,7073045361,2238868986,1020019253,9439853283,7018054786,220790776.1,461475.66,,,,,,,,,,,,,,,,,,,,,,,,,,2260472276,,20000,0,,1137653202,,,,,,5000000,,,,4539827122,,,,,
,156335774.6,,,9915646515,14365918644,0,,合并,10004819,CNY,851390.58,,,506500054.2,454323.94,689393504.3,2020-12-31,0,0,,,0,,2020-3-30,927578361.1,3230563399,0,,,0,,14174119.73,277983986.1,7191793000,2021-3-31,,1263552705,-419294250.4,3605559351,4450272129,0,,,0,0,2208368663,,0,957003816.5,21700000,,,,594664209.1,20229573.58,5400040241,2019-12-31,年度报告,年度报告,2019-1-1,7191793000,5928240295,15025510.31,434319760.7,9554100655,5948541304,376990524.2,,,,,,,,,,,,,,,,,,,,,,,,,,,4094939019,,,0,,909476197,,,,,,,,,,,,,,,
7711818752,1782708397,,,1.06021E+11,1.31965E+11,0,,合并,10004865,CNY,13693505,57310732072,85512178,8022217802,688771604,6967906512,2020-12-31,0,0,,,0,318920013,2020-3-25,5171107733,27214135080,0,47882838,,0,,3615193760,82415899595,62278166360,2021-3-26,55252470965,11984960353,-23125593639,36396109791,25944248109,0,,,0,0,9738142966,,0,45200033605,663308757,,,,16368977516,20925589858,1.04253E+11,2019-12-31,年度报告,年度报告,2019-1-1,1.25242E+11,1.13257E+11,61073014353,84198607992,1.34516E+11,98119617455,4613145700,,,,,,,,,,,,,,,,,,,,,,,,,,,16562661397,,,0,674603422,,,,,,,,60075197945,,,,,,,1691430237,
,70706052.4,,,11210985244,13148321941,0,,合并,10120316,CNY,1876179.89,,,1656403758,5351433.66,1336644242,2019-12-31,0,0,,,0,,2020-4-30,1053887400,4995181889,0,,,0,,1445799890,884943544.3,19857838670,2020-4-30,1658229506,1524682216,136503473,270799574.8,1937336697,0,,,0,0,,,0,,,,348923000,,1297089402,358978473.4,18334982201,2019-12-31,年度报告,年度报告,2019-1-1,21516068176,19991385960,1447676070,1311172597,12025216423,11754416848,493730632.8,,,,,,,,,,,,,,,,,,,,,,,,,,,3266478508,,6600000,0,1950000000,,,,477669751.5,,,,1462921048,,,1941656505,,,,,
1530000,298154342,,,46079670480,61940172287,0,,合并,10004846,CNY,2952542.13,539586177.2,,4269628094,131459997.9,3302787091,2020-12-31,0,0,,,0,321919988.7,2020-3-28,2280875220,7715338408,0,688166542.2,,0,9154065791,3945878627,449465000,66746196248,2021-3-31,3375435647,10069109127,-4725101245,10385033927,15860501806,0,,,0,0,5425385864,,0,6039576587,,,,,12437241810,10035342904,55462504686,2019-12-31,年度报告,年度报告,2019-1-1,70123161896,60054052769,5176583888,9901685133,42667564679,32282530752,672409349.7,,,,,,,,,,,,,,,,,,,,,,,,,,,8120113672,,,0,4642408578,,,,,,,,11371383830,,,,,,1530000,23086249.83,
130410000,70103443.74,,,6738017907,8667906506,0,,合并,10004838,CNY,956742.84,153460000,,412968400,468132.72,889761852.6,2020-12-31,0,0,,,0,,2020-3-31,494560987.5,2390206290,0,,,0,,60214383.78,67043384,500000000,2021-3-30,522500000,-457867881.7,77484298.88,2309804049,1929888599,0,,,0,0,-1445092731,,0,70295140.97,360834667.7,434870000,,,1330446765,708212864.9,1271844814,2019-12-31,年度报告,年度报告,2019-1-1,1587780000,2045647882,214631126.6,137146827.7,5330795986,3020991938,235927191.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2270996749,,,0,,,,,,,,-1500000000,2906472814,,,,,,130410000,15453538.96,
,432173707.5,,,41784495855,59588272169,0,,合并,10004769,CNY,1737729.7,233288080.8,,4059010185,33056198.82,3901444776,2019-12-31,0,0,,,0,,2020-3-20,2567850231,13248513435,0,,,0,,15855098.4,,64345552000,2020-3-20,1012978274,-10689801102,-181292798.6,28641814016,17803776314,0,,,0,0,13489566712,,0,2702911037,14700000,,,,5152466458,4726904150,71974621191,2019-12-31,年度报告,年度报告,2019-1-1,65358530274,76048331375,250880908.9,432173707.5,52973981699,24332167683,2052771778,,,,,,,,,,,,,,,,,,,,,,,,,,,14122563847,,,0,,,,,,,,1300000000,6086433555,,,,,,,4779276.36,
,106172196.3,,125274805.3,14549217938,19856130280,0,,合并,10004930,CNY,5294985.31,12233487.07,,1092515544,921536.31,1326562057,2020-12-31,0,0,,,0,,2020-3-19,532290353.3,4645794589,0,,,0,,,,22309810000,2021-3-18,10779811.08,4988411840,-88643723.95,406222689.1,5306912341,0,,,0,0,,,0,,2042615.64,,,,5349515917,5119456627,16237619811,2019-12-31,年度报告,年度报告,2019-1-1,22320589811,17332177971,17528472.38,106172196.3,13450091839,13043869150,497289878.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3559565819,,,0,130000000,2061162158,,,266574607.8,,,,,,,,,,,,
,528395495.2,,,53484241796,70916867150,0,,合并,10004876,CNY,21590127.58,,,5099185680,97524620.58,4019943438,2020-12-31,0,0,41715031321,,0,1728944689,2020-3-28,2538511115,17581896655,0,1487252324,,0,14457399264,2071075678,1276264865,,2021-3-30,553529537.1,-11188379921,-12812101422,41335582076,17432625353,0,,,0,0,,,0,11518160833,264596211.9,,10495137408,10365177480,15346923228,5759120624,46364214199,2019-12-31,年度报告,年度报告,2019-1-1,42268560858,53456940779,13945095608,26757197031,89347442969,48011860893,2312546769,,,,,,,,,,,,,,,,,,,,,,,,,,,23811739876,,,0,,,,,,,,6170000000,36024685815,,,,,,,,
,105167749.4,,,9602115554,11805475727,0,,合并,10004941,CNY,41811328.73,,,651455777.9,-2411060.48,748006626.6,2020-12-31,0,0,,,0,,2020-4-23,565340715.5,1916877772,0,,,0,,103301122.3,126399963.5,8525253892,2021-3-31,3740032224,-1196113476,-86455261.88,3488339971,2203360172,0,,,0,0,5680048335,,0,1770935074,584905867.8,,,,1214320341,775420722.9,12225037947,2019-12-31,年度报告,年度报告,2019-1-1,12265286117,13461399592,145112451,231567712.9,10826353785,7338013814,314710691.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2334006955,,,0,,1439852974,,,,,,120000000,,,,,,,,33927012.2,
7690711693,222871019.5,,,97308344182,1.0759E+11,0,,合并,10004830,CNY,9876918.42,,,5103433016,202521942.2,5052478895,2020-12-31,0,0,,,0,314762486.6,2020-3-28,4184630906,16485949725,0,,,0,,3288775070,10676624542,79589765002,2021-3-31,1160306944,7564483106,-7600843573,10115907964,10282069439,0,,,0,0,,,0,,,,,,16278426681,12055162094,75458105030,2019-12-31,年度报告,年度报告,2019-1-1,88440783639,80876300533,3298651989,10899495562,66698016267,56582108302,2593539438,,,,,,,,,,,,,,,,,,,,,,,,,,,16777679329,,,0,728794477,,,,19183493661,,,,21379225119,,,,,,,6755443.39,
230650000,89491225.76,,,845366480,540419922.6,0,,合并,10106348,CNY,47185,818193866.2,,16984557.73,2423745.81,60975871.71,2020-12-31,0,0,,,0,,2020-3-10,,315577435.3,0,,,0,,1892174.24,812660214.5,,2021-3-31,105000000,331864043.1,-82329804.48,-556904541.8,-304946557.4,0,,,0,0,,,0,,24046892.22,55005493,688000,376410.35,2946458592,2258059100,17760000,2019-12-31,年度报告,年度报告,2019-1-1,390655493,58791449.95,820509635.8,902839440.3,2573636536,3130541077,40313844.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
0,101330074.8,,,14339808736,19000705113,0,,合并,10004804,CNY,494735,17524963326,0,590836652.7,463860.92,1168028413,2019-12-31,0,0,,,0,,2020-3-31,830868226.3,3702484936,0,,,0,,426906376.3,21535821425,21537500000,2020-3-31,0,7037652295,-3684787062,1307567284,4660896377,0,,,0,0,500000000,,0,7849222846,22460052.53,0,0,0,1802185884,247585329.5,13886551000,2019-12-31,年度报告,年度报告,2019-1-1,21537500000,14499847705,17952364437,21637151499,16812935755,15505368471,613350104.6,,,,,,,,,,,,,,,,,,,,,,,,,,0,4817961093,,0,0,350000000,0,,,,,,0,7544904396,,,,,,0,0,
304649056.6,71199644.37,,,1361206882,2058240898,0,,合并,10095670,CNY,34128.14,695519993.6,,50815928.6,36589756.34,239399446.6,2020-12-31,0,0,,,0,,2020-3-14,24922081.07,304771615.2,0,,,0,,20011964.36,808502738.9,,2021-3-16,756798229.4,568296610.3,-257524211.6,349671860.9,697034015.9,0,,,-0.01,0,9940998902,,0,10392701142,22334747.17,,6874908400,6781520485,576051031.2,1578919376,420000000,2019-12-31,年度报告,年度报告,2019-1-1,1061447286,493150675.8,7497086572,7754610783,11850758816,11501086955,76885198.23,2344641.38,,,,,,,,,,,,,,,,,,,,,,,,,6111267.35,23724280.34,,,0,,,,,,,,,,,,,,,,,
,244197194.8,,,11579567328,14969235935,0,,合并,10053660,CNY,889556.18,5912893.62,,1291111789,23872736.07,1154214472,2019-12-31,0,0,,,0,,2020-4-25,607976537.6,4513373835,0,,,0,,99135233.15,101500000,17427770000,2020-4-25,681703800,-3060014521,-239759511.9,6665569904,3389668607,0,,,0,0,3702315813,,0,,4580231.76,,,,4031243231,121077368.2,19873796300,2019-12-31,年度报告,年度报告,2019-1-1,18109473800,21169488321,105937683,345697194.8,18312806817,11647236913,239375258.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3844180423,,,0,,,,,,,,550000000,5581859378,,,,,,,,
1166540000,167844084.9,,,9031882924,10740413953,0,,合并,10004866,CNY,,2757960461,23147293.9,895233905.9,1210063.38,1250779101,2019-12-31,0,0,,,0,,2020-4-28,604258346.5,3132560803,0,,,0,,162645878,2819186697,5146100000,2020-4-28,9108500000,5219076334,-566590316,-2945165051,1708531030,0,,,0,0,,,0,-697375924.8,2144129760,,931269515.8,407956348.9,3249952609,1460891182,7162700000,2019-12-31,年度报告,年度报告,2019-1-1,15421140000,10202063666,3351709982,3918300298,5484342885,8429507936,358296525.3,,,,,,,,,,,,,,,,,,,,,,,,,,,984914894.9,,,0,,,,,,,,,-94023994.39,,,,,,1166540000,21180206.71,
,151438795.3,,,30813274516,36994295233,0,,合并,10004894,CNY,3354450.14,,,2601777563,50017080.61,3053259150,2019-12-31,0,0,,,0,,2020-4-28,2143711953,10010663784,0,,,0,,1138771707,238788364,22115979675,2020-6-2,2804172645,-5734139513,724076940.6,11141066210,6181020718,0,,,0,0,6842078576,,0,4762533976,101457748.6,,27822057.05,,6651007719,6514891580,27951056522,2019-12-31,上市公告书,年度报告,2019-1-1,24920152320,30654291834,1142126157,418049216.3,31772699183,20631632974,1068469017,,,,,,,,,,,,,,,,,,,,,,,,,,,7835939191,,,0,,,,,,,,14019902.98,555106149.6,,,,,,,25689426.65,
938258800,40756519.43,,,4454869108,7078084509,0,,合并,10004839,CNY,119034.88,6165970000,,129072072.7,316809.72,346207932.6,2020-12-31,0,0,,,0,993750000,2020-4-20,290623745,941389648.4,0,,,0,,40004495.87,6905586040,,2021-3-31,1646600000,1462036727,-740249028.7,1901110892,2623215400,0,,,0,0,,,0,2567836470,,,,,243892726.1,55105836.2,,2019-12-31,年度报告,年度报告,2019-1-1,2584858800,1122822073,6206093531,6946342559,5503574694,3602463802,74347274.06,,,,,,,,,,,,,,,,,,,,,,,,,,,1820268434,271856300,,0,,,,,,,,12000000,2402954475,,,,,,,,
,84679842,,,9001741711,12250832443,0,,合并,10004787,CNY,696122.74,6353900595,,412261593.8,6044149.79,507011779.5,2020-12-31,0,0,,,0,77026218.71,2020-3-3,211311592.4,1746181759,0,,,0,,15747534.34,6230115102,2660000000,2021-3-19,,-609287812.5,55549307.88,3796785087,3249090732,0,,,0,0,,,0,5008527730,,,,,165306477.6,119299011,2780000000,2019-12-31,年度报告,年度报告,2019-1-1,2660000000,3269287813,6370344252,6314794944,11598201072,7801415985,249956904.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2617712000,,,0,,,,,,,,200000000,6915008302,,,,,,,,
,119781998.9,,,7841558318,11693039910,0,,合并,10004807,CNY,,9232845.99,,448180528.1,582528.04,570174637,2019-12-31,0,0,,,0,,2020-4-2,426945307.3,2360024742,0,,,0,,,80000000,6565910000,2020-4-2,,3068756592,-190415457.7,972557930.4,3851481593,0,,,0,0,,,0,6744190700,25472880.11,,,133695.2,451696854.4,41124934.53,3023500000,2019-12-31,年度报告,年度报告,2019-1-1,6565910000,3497153408,9366541.19,199781998.9,10722163434,9749605504,338282637.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3018467186,,,0,,,,,,,,,4602554582,,,699991990.4,,,,1470000,
5008350000,290266264.7,,,50525772233,99618730995,0,,合并,10066493,CNY,,29306771.47,,4653826254,63611536.23,4316463723,2020-12-31,0,0,,,0,,2020-3-27,2797511908,16623084970,0,,,0,,,2868984594,71444940000,2021-4-1,30711104186,15281975730,-2943449507,36690821003,49092958762,0,,,0,0,,,0,30939903691,386925414.3,,,186494579.5,5041312257,17258476171,86841666788,2019-12-31,年度报告,年度报告,2019-1-1,1.07164E+11,91882418456,215801350.9,3159250858,84331159356,47640338353,1872504731,,,,,,,,,,,,,,,,,,,,,,,,,,,19587150866,,,0,,,,,,,,5240000000,25622447349,,,,,,8350000,9646000,
250855745,156742340.9,,,10932851072,15248554822,0,,合并,10004837,CNY,169291.36,1558430663,,1026771670,1115425.5,1177339752,2019-12-31,0,0,,,0,,2020-4-21,941092331.4,3102855083,0,,,0,,184560145.2,,13083327486,2020-4-21,,5418004957,1586417759,-2689834391,4315703751,0,,,0,0,,,0,2040155042,,,,,1209435287,787573413.6,6889406604,2019-12-31,年度报告,年度报告,2019-1-1,13334183231,7916178274,1743160100,156742340.9,8341722569,11031556960,346299683.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4451294073,,,0,1100000000,77807285.15,,,,,,,,,,,,,250855745,,
1232846792,106610183.9,,,3964853022,7365272338,0,,合并,10004813,CNY,123802.54,,,329066693,415926.45,428518989,2020-12-31,0,0,,,0,,2020-3-30,356243360.5,1083179172,0,,,0,,771506.85,80000000,10635008533,2021-4-1,3100000000,10652309700,-189723382.6,-7062582928,3400419316,0,,,0,0,,,0,1233045390,7548932.99,,4008508,,3212262676,1529728375,3978930000,2019-12-31,年度报告,年度报告,2019-1-1,14967855325,4315545626,895309.39,190618691.9,8054803717,15117386645,238490373,,,,,,,,,,,,,,,,,,,,,,,,,,,959324668.9,,,0,,,,,9648825857,,,,4482571501,,,,,,,,
,89189382.6,,,15464385421,20473131345,0,,合并,10004926,CNY,253435.18,13515221809,,688802101.9,10924714.91,892783548.3,2020-12-31,0,0,,,0,115721752,2020-3-26,857714490.9,3931780840,0,,,0,,173976685.3,13358382891,13080620000,2021-3-30,,-5573183854,241879655.4,10329125408,5008745924,0,,,0,0,405806187,,0,,8600000,,,,676306408.3,404143625.6,17840680000,2019-12-31,年度报告,年度报告,2019-1-1,13080620000,18653803854,13689451929,13447572274,15412325602,5083200195,441591978,,,,,,,,,,,,,,,,,,,,,,,,,,,4683269351,,,0,,,,,,,,300000000,5687325599,,,,,,,,
,490421396,,,59852499790,71548525555,0,,合并,10014783,CNY,1752207,45813119051,,4135124004,671205079,6384425493,2020-12-31,0,0,95849657003,,0,72745474652,2020-4-27,3054359349,14413091638,0,25251681,,0,,1005047284,39902385252,6500000000,2021-3-31,,21676871335,6452363575,-17104414224,11696025765,0,,,0,0,,,0,27524642880,36182940,,,,5874775052,14561202171,3224000000,2019-12-31,年度报告,年度报告,2019-1-1,1.0235E+11,80672785668,46845170223,40392806648,51331528285,68435942509,1516037086,,,,,,,,,,,,,,,,,,,,,,,,,,,7019714725,,,0,,18679329343,,,,,,15337519751,,,,,,,,,
